"","X","rooms","sizes","prices","zip","name","zip_name","lat","lon"
"1",1,3.5,99,875000,8414,"Buch am Irchel","8414 Buch am Irchel",47.5474927,8.6318455
"2",6,2.5,64,790000,8472,"Seuzach","8472 Seuzach",NA,NA
"3",7,3.5,81,950000,8472,"Seuzach","8472 Seuzach",47.5349127,8.7322083
"4",8,4.5,108,1310000,8472,"Seuzach","8472 Seuzach",47.5349127,8.7322083
"5",9,5.5,119,1450000,8472,"Seuzach","8472 Seuzach",47.5349127,8.7322083
"6",21,3.5,63,660000,8308,"Illnau","8308 Illnau",47.4075705,8.7174687
"7",22,4.5,82,850000,8308,"Illnau","8308 Illnau",47.4075705,8.7174687
"8",23,6.5,234,2535000,6043,"Adligenswil","6043 Adligenswil",47.0712344,8.3657653
"9",24,5.5,158,1850000,6043,"Adligenswil","6043 Adligenswil",NA,NA
"10",25,2.5,68,745000,6043,"Adligenswil","6043 Adligenswil",47.0712344,8.3657653
"11",26,4.5,122,1270000,6043,"Adligenswil","6043 Adligenswil",47.0712344,8.3657653
"12",27,4.5,138,1625000,6043,"Adligenswil","6043 Adligenswil",47.0712344,8.3657653
"13",28,5.5,154,1715000,6043,"Adligenswil","6043 Adligenswil",NA,NA
"14",40,5.5,163,1950000,8634,"Hombrechtikon","8634 Hombrechtikon",47.25584,8.7682378
"15",41,5.5,167,1780000,8634,"Hombrechtikon","8634 Hombrechtikon",47.25584,8.7682378
