"","Etage","whg_name","room"
"1","1","A.11","3.5"
"2"," 1 & 2","A.12","4.5"
"3","2","A.21","5.5"
"4","3","A.31","3.5"
"5","3","A.32","4.5"
"6","4","A.41","3.5"
"7","4","A.42","4.5"
"8","4","A.43","5.5"
"9","5","A.51","3.5"
"10","5","A.52","4.5"
"11","5","A.53","5.5"
"12","6","A.61","4.5"
"13","6","A.62","5.5"
"14"," 1 & 2","B.11","4.5"
"15","1","B.12","3.5"
"16","2","B.21","5.5"
"17","3","B.31","4.5"
"18","3","B.32","4.5"
"19","4","B.41","4.5"
"20","4","B.42","4.5"
"21","5","B.51","4.5"
"22","5","B.52","4.5"
"23","6","B.61","5.5"
"24","1","C.11","2.5"
"25"," 1 & 2","C.12","4.5"
"26","2","C.21","4.5"
"27","3","C.31","4.5"
"28","3","C.32","4.5"
"29","4","C.41","4.5"
"30","4","C.42","4.5"
"31","5","C.51","4.5"
"32","5","C.52","4.5"
"33","6","C.61","5.5"
"34"," 1 & 2","D.11","4.5"
"35","1","D.12","3.5"
"36","2","D.21","5.5"
"37","3","D.31","4.5"
"38","3","D.32","4.5"
"39","4","D.41","4.5"
"40","4","D.42","4.5"
"41","5","D.51","4.5"
"42","5","D.52","4.5"
"43","6","D.61","5.5"
